CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
415,,,,,,,,,,,
415,Request For Payment FINAL_APPROVED by SUPERVISOR,16.45451452901313,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65457,0.0,118.1007209590977,UNKNOWN,request for payment number 149702
415,,,,,,,,,,,
415,Payment Handled,16.492746643248438,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65457,0.0,118.1007209590977,UNKNOWN,request for payment number 149702
416,Request For Payment SUBMITTED by EMPLOYEE,16.454419662308997,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,18.50525077353088,UNKNOWN,request for payment number 148257
416,,,,,,,,,,,
416,Request Payment,16.46072524920389,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,18.50525077353088,UNKNOWN,request for payment number 148257
416,,,,,,,,,,,
417,Request For Payment SUBMITTED by EMPLOYEE,16.460184726421705,STAFF MEMBER,EMPLOYEE,project 147531,UNKNOWN,organizational unit 65458,0.0,888.1653252740178,UNKNOWN,request for payment number 148261
417,,,,,,,,,,,
417,Request Payment,16.46066916544342,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,888.1653252740178,UNKNOWN,request for payment number 148261
417,,,,,,,,,,,
418,Request For Payment SUBMITTED by EMPLOYEE,16.460202483387373,STAFF MEMBER,EMPLOYEE,project 503,task 148266,organizational unit 65463,0.0,241.0606115170661,activity 505,request for payment number 148265
418,,,,,,,,,,,
418,Request For Payment FINAL_APPROVED by SUPERVISOR,16.461869097332052,STAFF MEMBER,SUPERVISOR,project 503,task 148266,organizational unit 65463,0.0,241.0606115170661,activity 505,request for payment number 148265
418,,,,,,,,,,,
418,Payment Handled,16.510408377783968,SYSTEM,UNDEFINED,project 503,task 148266,organizational unit 65463,0.0,241.0606115170661,activity 505,request for payment number 148265
419,Request For Payment SUBMITTED by EMPLOYEE,16.46042505796107,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,44.532045933751135,UNKNOWN,request for payment number 148271
419,,,,,,,,,,,
419,Request For Payment FINAL_APPROVED by SUPERVISOR,16.4677652043473,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,44.532045933751135,UNKNOWN,request for payment number 148271
419,,,,,,,,,,,
419,Payment Handled,16.510408377783968,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,44.532045933751135,UNKNOWN,request for payment number 148271
420,Request For Payment SUBMITTED by EMPLOYEE,16.46048655196429,STAFF MEMBER,EMPLOYEE,project 503,task 149707,organizational unit 65463,0.0,297.4059579239853,activity 505,UNKNOWN
420,,,,,,,,,,,
420,Request For Payment FINAL_APPROVED by SUPERVISOR,16.497744775731405,STAFF MEMBER,SUPERVISOR,project 503,task 149707,organizational unit 65463,0.0,297.4059579239853,activity 505,UNKNOWN
420,,,,,,,,,,,
421,Request For Payment SUBMITTED by EMPLOYEE,16.460660717110706,STAFF MEMBER,EMPLOYEE,project 503,task 149707,organizational unit 65463,0.0,62.79336930645629,activity 505,UNKNOWN
421,,,,,,,,,,,
421,Request For Payment FINAL_APPROVED by SUPERVISOR,16.501551795599713,STAFF MEMBER,SUPERVISOR,project 503,task 149707,organizational unit 65463,0.0,62.79336930645629,activity 505,UNKNOWN
421,,,,,,,,,,,
422,Request For Payment SUBMITTED by EMPLOYEE,16.460738808223198,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65458,0.0,127.81476387308014,UNKNOWN,request for payment number 149713
422,,,,,,,,,,,
422,Request For Payment REJECTED by MISSING,16.4677431400769,STAFF MEMBER,MISSING,project 147582,UNKNOWN,organizational unit 65458,0.0,127.81476387308014,UNKNOWN,request for payment number 149713
422,,,,,,,,,,,
422,Request For Payment FINAL_APPROVED by SUPERVISOR,16.467832803985335,STAFF MEMBER,SUPERVISOR,project 147582,UNKNOWN,organizational unit 65458,0.0,127.81476387308014,UNKNOWN,request for payment number 149713
422,,,,,,,,,,,
422,Payment Handled,16.492746643248438,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65458,0.0,127.81476387308014,UNKNOWN,request for payment number 149713
423,Request For Payment SUBMITTED by EMPLOYEE,16.46177372023843,STAFF MEMBER,EMPLOYEE,project 147572,UNKNOWN,organizational unit 65458,0.0,130.93304861791543,UNKNOWN,request for payment number 148276
423,,,,,,,,,,,
423,Request Payment,16.467958122612337,SYSTEM,UNDEFINED,project 147572,UNKNOWN,organizational unit 65458,0.0,130.93304861791543,UNKNOWN,request for payment number 148276
423,,,,,,,,,,,
424,Request For Payment SUBMITTED by EMPLOYEE,16.462016009896015,STAFF MEMBER,EMPLOYEE,project 147649,UNKNOWN,organizational unit 65458,0.0,98.17980195059462,UNKNOWN,request for payment number 148280
424,,,,,,,,,,,
424,Request For Payment FINAL_APPROVED by SUPERVISOR,16.491429914625094,STAFF MEMBER,SUPERVISOR,project 147649,UNKNOWN,organizational unit 65458,0.0,98.17980195059462,UNKNOWN,request for payment number 148280
424,,,,,,,,,,,
424,Payment Handled,16.510408377783968,SYSTEM,UNDEFINED,project 147649,UNKNOWN,organizational unit 65458,0.0,98.17980195059462,UNKNOWN,request for payment number 148280
425,Request For Payment SUBMITTED by EMPLOYEE,16.462560716788605,STAFF MEMBER,EMPLOYEE,project 148052,UNKNOWN,organizational unit 65458,0.0,81.1652970601694,UNKNOWN,request for payment number 148285
425,,,,,,,,,,,
425,Request Payment,16.46785521870631,SYSTEM,UNDEFINED,project 148052,UNKNOWN,organizational unit 65458,0.0,81.1652970601694,UNKNOWN,request for payment number 148285
425,,,,,,,,,,,
426,Request For Payment SUBMITTED by EMPLOYEE,16.467779655123184,STAFF MEMBER,EMPLOYEE,project 147701,UNKNOWN,organizational unit 65458,0.0,177.56146445436116,UNKNOWN,request for payment number 147700
426,,,,,,,,,,,
426,Request Payment,16.497948685568122,SYSTEM,UNDEFINED,project 147701,UNKNOWN,organizational unit 65458,0.0,177.56146445436116,UNKNOWN,request for payment number 147700
426,,,,,,,,,,,
427,Request For Payment SUBMITTED by EMPLOYEE,16.472726236619973,STAFF MEMBER,EMPLOYEE,project 147582,task 149721,organizational unit 65458,0.0,59.96875042883829,activity 505,request for payment number 149720
427,,,,,,,,,,,
427,Request Payment,16.49131562787207,SYSTEM,UNDEFINED,project 147582,task 149721,organizational unit 65458,0.0,59.96875042883829,activity 505,request for payment number 149720
427,,,,,,,,,,,
428,Request For Payment SUBMITTED by EMPLOYEE,16.473118190428444,STAFF MEMBER,EMPLOYEE,project 147546,task 60597,organizational unit 65457,0.0,31.611132838462733,activity 505,request for payment number 149725
428,,,,,,,,,,,
428,Request For Payment FINAL_APPROVED by SUPERVISOR,16.473150933954123,STAFF MEMBER,SUPERVISOR,project 147546,task 60597,organizational unit 65457,0.0,31.611132838462733,activity 505,request for payment number 149725
428,,,,,,,,,,,
428,Payment Handled,16.510408377783968,SYSTEM,UNDEFINED,project 147546,task 60597,organizational unit 65457,0.0,31.611132838462733,activity 505,request for payment number 149725
429,Request For Payment SUBMITTED by EMPLOYEE,16.473153808602184,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,22.246199303708,UNKNOWN,request for payment number 147705
429,,,,,,,,,,,
429,Request Payment,16.497898618302195,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,22.246199303708,UNKNOWN,request for payment number 147705
429,,,,,,,,,,,
430,Request For Payment SUBMITTED by EMPLOYEE,16.473172809116917,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0.0,16.853181290687875,UNKNOWN,request for payment number 147709
430,,,,,,,,,,,
430,Request Payment,16.497890205113965,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,16.853181290687875,UNKNOWN,request for payment number 147709
430,,,,,,,,,,,
431,Request For Payment SUBMITTED by EMPLOYEE,16.473182204071996,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,14.313781600872304,UNKNOWN,request for payment number 149730
431,,,,,,,,,,,
431,Request Payment,16.84436305136705,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,14.313781600872304,UNKNOWN,request for payment number 149730
431,,,,,,,,,,,
432,Request For Payment SUBMITTED by EMPLOYEE,16.473750084353256,STAFF MEMBER,EMPLOYEE,project 147701,UNKNOWN,organizational unit 65458,0.0,62.11261119822966,UNKNOWN,request for payment number 149883
432,,,,,,,,,,,
432,Request For Payment FINAL_APPROVED by SUPERVISOR,16.508438593301292,STAFF MEMBER,SUPERVISOR,project 147701,UNKNOWN,organizational unit 65458,0.0,62.11261119822966,UNKNOWN,request for payment number 149883
432,,,,,,,,,,,
432,Payment Handled,16.533486337138058,SYSTEM,UNDEFINED,project 147701,UNKNOWN,organizational unit 65458,0.0,62.11261119822966,UNKNOWN,request for payment number 149883
433,Request For Payment SUBMITTED by EMPLOYEE,16.475819045081025,STAFF MEMBER,EMPLOYEE,project 148681,UNKNOWN,organizational unit 65458,0.0,79.22881355624047,UNKNOWN,request for payment number 149888
433,,,,,,,,,,,
433,Request Payment,16.491310739412434,SYSTEM,UNDEFINED,project 148681,UNKNOWN,organizational unit 65458,0.0,79.22881355624047,UNKNOWN,request for payment number 149888
433,,,,,,,,,,,
434,Request For Payment SUBMITTED by EMPLOYEE,16.49112420272643,STAFF MEMBER,EMPLOYEE,project 148309,task 148121,organizational unit 65458,0.0,28.94007706162185,activity 505,request for payment number 149777
434,,,,,,,,,,,
434,Request Payment,16.492067133594404,SYSTEM,UNDEFINED,project 148309,task 148121,organizational unit 65458,0.0,28.94007706162185,activity 505,request for payment number 149777
434,,,,,,,,,,,
435,Request For Payment SUBMITTED by EMPLOYEE,16.49116600263893,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65458,0.0,675.8233586498261,UNKNOWN,request for payment number 149781
435,,,,,,,,,,,
435,Request Payment,16.497880629041234,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,675.8233586498261,UNKNOWN,request for payment number 149781
435,,,,,,,,,,,
436,Request For Payment SUBMITTED by EMPLOYEE,16.491185077141978,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,82.12214397389684,UNKNOWN,request for payment number 149892
436,,,,,,,,,,,
436,Request Payment,16.497864691516877,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,82.12214397389684,UNKNOWN,request for payment number 149892
436,,,,,,,,,,,
437,Request For Payment SUBMITTED by EMPLOYEE,16.49121785413859,STAFF MEMBER,EMPLOYEE,project 147620,task 25860,organizational unit 65463,0.0,2110.4411480620392,activity 505,request for payment number 148703
437,,,,,,,,,,,
437,Request For Payment FINAL_APPROVED by SUPERVISOR,16.49127183743821,STAFF MEMBER,SUPERVISOR,project 147620,task 25860,organizational unit 65463,0.0,2110.4411480620392,activity 505,request for payment number 148703
437,,,,,,,,,,,
437,Payment Handled,16.57263228047665,SYSTEM,UNDEFINED,project 147620,task 25860,organizational unit 65463,0.0,2110.4411480620392,activity 505,request for payment number 148703
438,Request For Payment SUBMITTED by EMPLOYEE,16.491311703335942,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65458,0.0,2038.7312020119537,UNKNOWN,request for payment number 149896
438,,,,,,,,,,,
438,Request Payment,16.497859834967546,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65458,0.0,2038.7312020119537,UNKNOWN,request for payment number 149896
438,,,,,,,,,,,
439,Request For Payment SUBMITTED by EMPLOYEE,16.49134426963427,STAFF MEMBER,EMPLOYEE,project 148982,UNKNOWN,organizational unit 65458,0.0,124.22493177850298,UNKNOWN,request for payment number 149900
439,,,,,,,,,,,
439,Request Payment,16.51558187895995,SYSTEM,UNDEFINED,project 148982,UNKNOWN,organizational unit 65458,0.0,124.22493177850298,UNKNOWN,request for payment number 149900
439,,,,,,,,,,,
440,Request For Payment SUBMITTED by EMPLOYEE,16.491862433676715,STAFF MEMBER,EMPLOYEE,project 503,task 72083,organizational unit 65463,0.0,87.24245786280854,activity 505,UNKNOWN
440,,,,,,,,,,,
440,Request For Payment FINAL_APPROVED by SUPERVISOR,16.497208227906572,STAFF MEMBER,SUPERVISOR,project 503,task 72083,organizational unit 65463,0.0,87.24245786280854,activity 505,UNKNOWN
440,,,,,,,,,,,
441,Request For Payment SUBMITTED by EMPLOYEE,16.49196110770837,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,115.43093602370436,UNKNOWN,request for payment number 149785
441,,,,,,,,,,,
441,Request Payment,16.497855046797223,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,115.43093602370436,UNKNOWN,request for payment number 149785
441,,,,,,,,,,,
442,Request For Payment SUBMITTED by EMPLOYEE,16.497148266663693,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,1067.630491826544,UNKNOWN,request for payment number 149789
442,,,,,,,,,,,
442,Request Payment,16.503374310120197,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,1067.630491826544,UNKNOWN,request for payment number 149789
442,,,,,,,,,,,
443,Request For Payment SUBMITTED by EMPLOYEE,16.502474600396223,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65457,0.0,39.83231912757012,UNKNOWN,request for payment number 149793
443,,,,,,,,,,,
443,Request For Payment FINAL_APPROVED by SUPERVISOR,16.503028541684174,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65457,0.0,39.83231912757012,UNKNOWN,request for payment number 149793
443,,,,,,,,,,,
443,Payment Handled,16.550452382952574,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65457,0.0,39.83231912757012,UNKNOWN,request for payment number 149793
444,Request For Payment SUBMITTED by EMPLOYEE,16.50311604967971,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,19.358745720489,UNKNOWN,request for payment number 149798
444,,,,,,,,,,,
444,Request For Payment FINAL_APPROVED by SUPERVISOR,16.504358299633537,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,19.358745720489,UNKNOWN,request for payment number 149798
444,,,,,,,,,,,
444,Payment Handled,16.533486337138058,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,19.358745720489,UNKNOWN,request for payment number 149798
445,Request For Payment SUBMITTED by EMPLOYEE,16.50311754663945,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65458,0.0,59.38421247852098,UNKNOWN,request for payment number 149803
445,,,,,,,,,,,
445,Request Payment,16.614992883470553,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65458,0.0,59.38421247852098,UNKNOWN,request for payment number 149803
445,,,,,,,,,,,
446,Request For Payment SUBMITTED by EMPLOYEE,16.503691601557218,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,37.3936667015082,UNKNOWN,request for payment number 149807
446,,,,,,,,,,,
446,Request Payment,16.515837545013234,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,37.3936667015082,UNKNOWN,request for payment number 149807
446,,,,,,,,,,,
447,Request For Payment SUBMITTED by EMPLOYEE,16.503703706289265,STAFF MEMBER,EMPLOYEE,project 148640,task 70647,organizational unit 65458,0.0,357.51993529246863,activity 505,request for payment number 148639
447,,,,,,,,,,,
447,Request Payment,16.51584513672455,SYSTEM,UNDEFINED,project 148640,task 70647,organizational unit 65458,0.0,357.51993529246863,activity 505,request for payment number 148639
447,,,,,,,,,,,
448,Request For Payment SUBMITTED by EMPLOYEE,16.50375797177029,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65463,0.0,70.48529464052955,UNKNOWN,request for payment number 149811
448,,,,,,,,,,,
448,Request Payment,16.508407120456415,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65463,0.0,70.48529464052955,UNKNOWN,request for payment number 149811
448,,,,,,,,,,,
449,Request For Payment SUBMITTED by EMPLOYEE,16.504361629628832,STAFF MEMBER,EMPLOYEE,project 148645,UNKNOWN,organizational unit 65458,0.0,15.979034805466966,UNKNOWN,request for payment number 148644
449,,,,,,,,,,,
449,Request Payment,16.55007389236474,SYSTEM,UNDEFINED,project 148645,UNKNOWN,organizational unit 65458,0.0,15.979034805466966,UNKNOWN,request for payment number 148644
449,,,,,,,,,,,
450,Request For Payment SUBMITTED by EMPLOYEE,16.504369580797242,STAFF MEMBER,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,0.0,649.8806446251288,UNKNOWN,UNKNOWN
450,,,,,,,,,,,
450,Request For Payment REJECTED by EMPLOYEE,16.53222637063168,STAFF MEMBER,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,0.0,649.8806446251288,UNKNOWN,UNKNOWN
451,Request For Payment SAVED by EMPLOYEE,16.50857699437924,STAFF MEMBER,EMPLOYEE,UNKNOWN,task 36889,organizational unit 65463,0.0,47.1411769793902,activity 505,UNKNOWN
452,Request For Payment SUBMITTED by EMPLOYEE,16.50861719139606,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0.0,34.96697198729099,UNKNOWN,request for payment number 148655
452,,,,,,,,,,,
452,Request Payment,16.550072853606594,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,34.96697198729099,UNKNOWN,request for payment number 148655
452,,,,,,,,,,,
453,Request For Payment SUBMITTED by EMPLOYEE,16.50863119906773,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,41.08619208506691,UNKNOWN,request for payment number 149815
453,,,,,,,,,,,
453,Request Payment,16.55007207453728,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,41.08619208506691,UNKNOWN,request for payment number 149815
453,,,,,,,,,,,
454,Request For Payment SUBMITTED by EMPLOYEE,16.508847920790206,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0.0,83.8427199742827,UNKNOWN,request for payment number 148659
454,,,,,,,,,,,
454,Request Payment,16.550070905932166,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,83.8427199742827,UNKNOWN,request for payment number 148659
454,,,,,,,,,,,
455,Request For Payment SUBMITTED by EMPLOYEE,16.509121546910606,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,114.38246796254748,UNKNOWN,request for payment number 148663
455,,,,,,,,,,,
455,Request Payment,16.50982573060541,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,114.38246796254748,UNKNOWN,request for payment number 148663
455,,,,,,,,,,,
456,Request For Payment SUBMITTED by EMPLOYEE,16.510107197727432,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65460,0.0,62.94139554945637,UNKNOWN,request for payment number 148667
456,,,,,,,,,,,
456,Request Payment,16.57127517021789,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65460,0.0,62.94139554945637,UNKNOWN,request for payment number 148667
456,,,,,,,,,,,
457,Request For Payment SUBMITTED by EMPLOYEE,16.510278674748342,STAFF MEMBER,EMPLOYEE,project 147690,UNKNOWN,organizational unit 65463,0.0,604.4639233923493,UNKNOWN,UNKNOWN
457,,,,,,,,,,,
457,Request For Payment FINAL_APPROVED by SUPERVISOR,16.514379607652284,STAFF MEMBER,SUPERVISOR,project 147690,UNKNOWN,organizational unit 65463,0.0,604.4639233923493,UNKNOWN,UNKNOWN
457,,,,,,,,,,,
458,Request For Payment SUBMITTED by EMPLOYEE,16.51473902843776,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,199.7297913172084,UNKNOWN,request for payment number 149819
458,,,,,,,,,,,
458,Request Payment,16.576226704271036,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,199.7297913172084,UNKNOWN,request for payment number 149819
458,,,,,,,,,,,
459,Request For Payment SUBMITTED by EMPLOYEE,16.514752143541592,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65463,0.0,707.6880581543583,UNKNOWN,request for payment number 148622
459,,,,,,,,,,,
459,Request Payment,16.537910375753377,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65463,0.0,707.6880581543583,UNKNOWN,request for payment number 148622
459,,,,,,,,,,,
460,Request For Payment SUBMITTED by EMPLOYEE,16.516097713020898,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65463,0.0,119.13472598855245,UNKNOWN,request for payment number 148786
460,,,,,,,,,,,
460,Request Payment,16.537848600000128,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65463,0.0,119.13472598855245,UNKNOWN,request for payment number 148786
460,,,,,,,,,,,
461,Request For Payment SUBMITTED by EMPLOYEE,16.51638218800228,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65458,0.0,12.363644914349049,UNKNOWN,request for payment number 148790
461,,,,,,,,,,,
461,Request Payment,16.59315808783232,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,12.363644914349049,UNKNOWN,request for payment number 148790
461,,,,,,,,,,,
462,Request For Payment SUBMITTED by EMPLOYEE,16.531651937022843,STAFF MEMBER,EMPLOYEE,project 147649,UNKNOWN,organizational unit 65458,0.0,5.214707504959674,UNKNOWN,request for payment number 148794
462,,,,,,,,,,,
462,Request Payment,16.54284782864902,SYSTEM,UNDEFINED,project 147649,UNKNOWN,organizational unit 65458,0.0,5.214707504959674,UNKNOWN,request for payment number 148794
462,,,,,,,,,,,
463,Request For Payment SUBMITTED by EMPLOYEE,16.531929642070132,STAFF MEMBER,EMPLOYEE,project 147701,UNKNOWN,organizational unit 65458,0.0,401.0922633894148,UNKNOWN,request for payment number 148798
463,,,,,,,,,,,
463,Request Payment,16.550082656843617,SYSTEM,UNDEFINED,project 147701,UNKNOWN,organizational unit 65458,0.0,401.0922633894148,UNKNOWN,request for payment number 148798
463,,,,,,,,,,,
464,Request For Payment SUBMITTED by EMPLOYEE,16.53236217934951,STAFF MEMBER,EMPLOYEE,UNKNOWN,task 15130,organizational unit 65458,0.0,668.9185986221086,activity 505,UNKNOWN
464,,,,,,,,,,,
464,Request For Payment REJECTED by EMPLOYEE,16.909295882573257,STAFF MEMBER,EMPLOYEE,UNKNOWN,task 15130,organizational unit 65458,0.0,668.9185986221086,activity 505,UNKNOWN
465,Request For Payment SUBMITTED by EMPLOYEE,16.532842615715467,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,224.70029714198105,UNKNOWN,request for payment number 148802
465,,,,,,,,,,,
465,Request For Payment FINAL_APPROVED by SUPERVISOR,16.53709679878947,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,224.70029714198105,UNKNOWN,request for payment number 148802
465,,,,,,,,,,,
465,Payment Handled,16.550452382952574,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,224.70029714198105,UNKNOWN,request for payment number 148802
466,Request For Payment SUBMITTED by EMPLOYEE,16.53781061258894,STAFF MEMBER,EMPLOYEE,project 147531,UNKNOWN,organizational unit 65458,0.0,78.42663957389739,UNKNOWN,request for payment number 148807
466,,,,,,,,,,,
466,Request Payment,16.554002019723484,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,78.42663957389739,UNKNOWN,request for payment number 148807
466,,,,,,,,,,,
467,Request For Payment SUBMITTED by EMPLOYEE,16.543244686507656,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,88.90404305714084,UNKNOWN,request for payment number 148914
467,,,,,,,,,,,
467,Request Payment,16.550102003347288,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,88.90404305714084,UNKNOWN,request for payment number 148914
467,,,,,,,,,,,
468,Request For Payment SUBMITTED by EMPLOYEE,16.54399436372516,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,147.7995447849135,UNKNOWN,request for payment number 148918
468,,,,,,,,,,,
468,Request Payment,16.571960116722266,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,147.7995447849135,UNKNOWN,request for payment number 148918
468,,,,,,,,,,,
469,Request For Payment SUBMITTED by EMPLOYEE,16.544065100887742,STAFF MEMBER,EMPLOYEE,project 147649,task 73357,organizational unit 65463,0.0,254.8810727304808,activity 505,request for payment number 148922
469,,,,,,,,,,,
469,Request For Payment FINAL_APPROVED by SUPERVISOR,16.544600333446393,STAFF MEMBER,SUPERVISOR,project 147649,task 73357,organizational unit 65463,0.0,254.8810727304808,activity 505,request for payment number 148922
469,,,,,,,,,,,
469,Payment Handled,16.57263228047665,SYSTEM,UNDEFINED,project 147649,task 73357,organizational unit 65463,0.0,254.8810727304808,activity 505,request for payment number 148922
470,Request For Payment SUBMITTED by EMPLOYEE,16.54426729144284,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,815.5252257657718,UNKNOWN,request for payment number 148626
470,,,,,,,,,,,
470,Request Payment,16.614989415496154,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,815.5252257657718,UNKNOWN,request for payment number 148626
470,,,,,,,,,,,
471,Request For Payment SUBMITTED by EMPLOYEE,16.548576181336824,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,47.767062549623375,UNKNOWN,request for payment number 148927
471,,,,,,,,,,,
471,Request Payment,16.5539951649103,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,47.767062549623375,UNKNOWN,request for payment number 148927
471,,,,,,,,,,,
472,Request For Payment SUBMITTED by EMPLOYEE,16.548901486788115,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65458,0.0,994.6106812443484,UNKNOWN,request for payment number 148931
472,,,,,,,,,,,
472,Request Payment,16.576172943336285,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65458,0.0,994.6106812443484,UNKNOWN,request for payment number 148931
472,,,,,,,,,,,
473,Request For Payment SUBMITTED by EMPLOYEE,16.549843846019094,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,6.288037265446674,UNKNOWN,request for payment number 148935
473,,,,,,,,,,,
473,Request For Payment FINAL_APPROVED by SUPERVISOR,16.586189770750742,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,6.288037265446674,UNKNOWN,request for payment number 148935
473,,,,,,,,,,,
473,Payment Handled,16.62602251738392,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,6.288037265446674,UNKNOWN,request for payment number 148935
474,Request For Payment SUBMITTED by EMPLOYEE,16.550069932093532,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65458,0.0,1636.263681168402,UNKNOWN,request for payment number 148940
474,,,,,,,,,,,
474,Request For Payment FINAL_APPROVED by DIRECTOR,16.577293608651303,STAFF MEMBER,DIRECTOR,project 147582,UNKNOWN,organizational unit 65458,0.0,1636.263681168402,UNKNOWN,request for payment number 148940
474,,,,,,,,,,,
